usuario_id,yeardone,study,privacy,dropout,device,net_id,school,grade,group,class_size,gender,yearbirth,age_assumed,siblings,left_hand,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,socpref1,socpref2,socpref3,sp1,sp2,sp3,sp4,sp5,sp6,migrant,repeater,gpaN,moodalone,moodfun,moodgeneral,patienceN,cns_td,crtN,finN,riskyN,cns_risk,self_bullying,n_others_bullying,others_bullying,height,weight,obesity,outdegreef,indegreef,eigenvectorf,clusteringf,outdegreee,indegreee,eigenvectore,clusteringe,density_f,average_degree_f,density_e,average_degree_e,schooltype,schooltown,schoolprov,nsiblings,rankbrother,stage,stairsN
2093,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,B),A),B),,,,,,,0,,.66666669,2,3,4,.16666667,1,.66666669,.66666669,.5,1,0,0,0,,,,17,14,3.20551285623e-17,.783625730994152,1,3,0,1,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2094,2021,337,1,0,1,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,1,,0,4,4,3,.33333334,0,.66666669,.66666669,.16666667,1,0,0,0,,58,,29,16,5.78588871502e-17,.5793103448275863,18,1,0,.2865497076023392,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2095,2021,337,1,0,1,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,0,2,4,3,.16666667,0,.33333334,.66666669,.66666669,1,0,0,0,,,,6,14,8.70054928378e-18,.7,5,13,0,.3088235294117647,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2096,2021,337,1,0,2,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,0,,.11111111,3,4,4,.5,1,0,.66666669,.83333331,1,0,0,0,,40,,25,14,2.41723443295e-17,.5897435897435898,5,10,0,.3181818181818182,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2097,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.44444445,1,2,4,.83333331,1,.66666669,0,.66666669,1,0,0,0,153,56,,18,17,2.18610689235e-17,.5434782608695652,13,6,0,.2571428571428572,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2098,2021,337,1,0,2,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,1,,.22222222,3,4,3,.33333334,1,.66666669,0,.66666669,1,0,0,0,156,62,,6,12,1.78958150220e-17,.7904761904761904,2,7,0,.6428571428571429,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2112,2021,391,1,0,3,8_2_1,8,1,1,32,1,2009,12,0,1,50,2,10,100,0,100,100,,0,A),A),A),,,,,,,0,,1,2,4,3,1,1,.33333334,.33333334,.83333331,1,0,0,0,165,56,,18,16,0,.4236453201970444,5,1,1.80177796814e-17,.0666666666666667,.1083028083028083,19.49450549450549,.0199023199023199,3.582417582417583,1,6,2,0,,2,
2113,2021,391,1,0,3,8_2_1,8,1,1,32,0,2009,12,1,0,50,10,25,50,0,100,75,,0,A),B),A),,,,,,,0,,0,4,4,4,.83333331,1,.66666669,0,.5,1,0,0,0,152,36,,13,14,4.09879883179e-18,.4387351778656127,1,1,0,0,.1083028083028083,19.49450549450549,.0199023199023199,3.582417582417583,1,6,2,,1,2,
2114,2021,391,1,0,3,8_2_1,8,1,1,32,0,2009,12,1,0,75,99,100,100,1,100,42,,0,A),B),A),,,,,,,0,,.8888889,2,4,4,.66666669,1,.66666669,0,.66666669,1,0,0,0,152,36,,63,13,0,.2073732718894009,1,1,0,0,.1083028083028083,19.49450549450549,.0199023199023199,3.582417582417583,1,6,2,,1,2,
2115,2021,391,1,0,3,8_2_1,8,1,1,32,0,2008,13,1,0,20,10,100,100,10,50,70,,0,A),B),A),,,,,,,0,,.8888889,3,4,3,.5,0,.66666669,.33333334,.5,1,0,0,0,,,,0,9,2.71183771744e-17,.8333333333333334,0,0,0,0,.1083028083028083,19.49450549450549,.0199023199023199,3.582417582417583,1,6,2,,7,2,
